Selected reflection data
------------------------
Material       : Quarz_00 (Si + 2*O) - kovalente Bindung
wavelength [nm]: 0.22900000

-------------------- search conditions
min. h  :   0    max. h  :   2
min. k  :   0    max. k  :   2
min. l  :   0    max. l  :   2

structure factor min.:  0.00   max.: 10000.00
Bragg angle [ø]  min.: 40.00   max.: 50.00


  h   k   l   abs[F(hkl)] abs[-F(hkl)]  2*d [nm]   THETA [ø]  lambda/dlambda
-----------------------------------------------------------------------------
  0   2   2      18.593      18.593      0.3343      43.233      60624
  1   2   0       3.554       3.716      0.3216      45.397     335169
  1   2   1      18.486      18.456      0.3083      47.974      71771
  2   0   2       8.921       8.921      0.3343      43.233     126354
  2   1   0       3.515       3.677      0.3216      45.397     338821
  2   1   1      16.716      16.793      0.3083      47.974      79118

